file_label	assembly_10	assembly_10	DeepBGC
Genome mining tool	GECCO	antiSMASH	DeepBGC
Unique BGC rate (NRPS, incomplete)	0.00	1.00	0.00
Unique BGC rate (PKS, complete)	0.00	0.00	0.89
Unique BGC rate (PKS, incomplete)	0.00	1.00	0.00
Unique BGC rate (RiPP, complete)	0.00	1.00	0.50
Unique BGC rate (RiPP, incomplete)	0.00	1.00	0.00
Unique BGC rate (terpene, complete)	0.00	1.00	1.00
Unique BGC rate (terpene, incomplete)	0.00	1.00	1.00
Unique BGC rate (saccharide, complete)	0.00	0.00	1.00
Unique BGC rate (hybrid, complete)	0.00	0.00	0.50
Unique BGC rate (unknown, complete)	1.00	0.00	0.58
Unique BGC rate (unknown, incomplete)	0.00	0.00	1.00
